experiment_id,batch_size,embedding_dtype,faiss_index,chunk_size
1,8,float16,l2,128
2,8,float16,l2,256
3,8,float16,l2,512
4,8,float16,l2,1024
5,8,float16,l2,2048
6,8,float16,l2,4096
7,8,float16,ip,128
8,8,float16,ip,256
9,8,float16,ip,512
10,8,float16,ip,1024
11,8,float16,ip,2048
12,8,float16,ip,4096
13,8,float32,l2,128
14,8,float32,l2,256
15,8,float32,l2,512
16,8,float32,l2,1024
17,8,float32,l2,2048
18,8,float32,l2,4096
19,8,float32,ip,128
20,8,float32,ip,256
21,8,float32,ip,512
22,8,float32,ip,1024
23,8,float32,ip,2048
24,8,float32,ip,4096
25,16,float16,l2,128
26,16,float16,l2,256
27,16,float16,l2,512
28,16,float16,l2,1024
29,16,float16,l2,2048
30,16,float16,l2,4096
31,16,float16,ip,128
32,16,float16,ip,256
33,16,float16,ip,512
34,16,float16,ip,1024
35,16,float16,ip,2048
36,16,float16,ip,4096
37,16,float32,l2,128
38,16,float32,l2,256
39,16,float32,l2,512
40,16,float32,l2,1024
41,16,float32,l2,2048
42,16,float32,l2,4096
43,16,float32,ip,128
44,16,float32,ip,256
45,16,float32,ip,512
46,16,float32,ip,1024
47,16,float32,ip,2048
48,16,float32,ip,4096
49,32,float16,l2,128
50,32,float16,l2,256
51,32,float16,l2,512
52,32,float16,l2,1024
53,32,float16,l2,2048
54,32,float16,l2,4096
55,32,float16,ip,128
56,32,float16,ip,256
57,32,float16,ip,512
58,32,float16,ip,1024
59,32,float16,ip,2048
60,32,float16,ip,4096
61,32,float32,l2,128
62,32,float32,l2,256
63,32,float32,l2,512
64,32,float32,l2,1024
65,32,float32,l2,2048
66,32,float32,l2,4096
67,32,float32,ip,128
68,32,float32,ip,256
69,32,float32,ip,512
70,32,float32,ip,1024
71,32,float32,ip,2048
72,32,float32,ip,4096
73,64,float16,l2,128
74,64,float16,l2,256
75,64,float16,l2,512
76,64,float16,l2,1024
77,64,float16,l2,2048
78,64,float16,l2,4096
79,64,float16,ip,128
80,64,float16,ip,256
81,64,float16,ip,512
82,64,float16,ip,1024
83,64,float16,ip,2048
84,64,float16,ip,4096
85,64,float32,l2,128
86,64,float32,l2,256
87,64,float32,l2,512
88,64,float32,l2,1024
89,64,float32,l2,2048
90,64,float32,l2,4096
91,64,float32,ip,128
92,64,float32,ip,256
93,64,float32,ip,512
94,64,float32,ip,1024
95,64,float32,ip,2048
96,64,float32,ip,4096
97,128,float16,l2,128
98,128,float16,l2,256
99,128,float16,l2,512
100,128,float16,l2,1024
101,128,float16,l2,2048
102,128,float16,l2,4096
103,128,float16,ip,128
104,128,float16,ip,256
105,128,float16,ip,512
106,128,float16,ip,1024
107,128,float16,ip,2048
108,128,float16,ip,4096
109,128,float32,l2,128
110,128,float32,l2,256
111,128,float32,l2,512
112,128,float32,l2,1024
113,128,float32,l2,2048
114,128,float32,l2,4096
115,128,float32,ip,128
116,128,float32,ip,256
117,128,float32,ip,512
118,128,float32,ip,1024
119,128,float32,ip,2048
120,128,float32,ip,4096
